ids,labels,parents
Low-price,Low-price,Zen
Comfort,Comfort,Zen
Premium,Premium,Zen
Luxury,Luxury,Zen
Utility,Utility,Zen
Below 700cc,Below 700cc,Low-price
Above 700cc,Above 700cc,Low-price
Comfort 1,Comfort 1,Comfort
Comfort 2,Comfort 2,Comfort
Comfort 3,Comfort 3,Comfort
Comfort 4,Comfort 4,Comfort
Comfort 5,Comfort 5,Comfort
Premium 67,Premium 67,Premium
Premium 89,Premium 89,Premium
Daihatsu Mira,Daihatsu Mira,Below 700cc
Daihatsu Mira,Daihatsu Mira,Below 700cc
Daihatsu Mira,Daihatsu Mira,Below 700cc
SUZUKI Alto GLX,SUZUKI Alto GLX,Below 700cc
SUZUKI Alto GLX,SUZUKI Alto GLX,Below 700cc
SUZUKI Alto GLX,SUZUKI Alto GLX,Below 700cc
SUZUKI Alto GLX,SUZUKI Alto GLX,Below 700cc
SUZUKI Wagon R,SUZUKI Wagon R,Below 700cc
Daihatsu Move,Daihatsu Move,Above 700cc
Mazda Carol,Mazda Carol,Above 700cc
Nissan Dayz,Nissan Dayz,Above 700cc
Nissan Dayz,Nissan Dayz,Above 700cc
Nissan Dayz,Nissan Dayz,Above 700cc
Daihatsu Mira,Daihatsu Mira,Above 700cc
SUZUKI Alto GLX,SUZUKI Alto GLX,Above 700cc
Nissan NV 100 clipper,Nissan NV 100 clipper,Above 700cc
SUZUKI Every,SUZUKI Every,Above 700cc
Mitsubishi EK wagon,Mitsubishi EK wagon,Above 700cc
Honda Wagon,Honda Wagon,Above 700cc
Toyota Passo,Toyota Passo,Above 700cc
Renault Kwid,Renault Kwid,Above 700cc
SUZUKI Wagon R,SUZUKI Wagon R,Above 700cc
